Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
340722.6611045195,339883.6660246451,337360.24348261877,341219.9427151612,336678.962311621,332888.4640799122,339731.85297630465,341927.5095376384
340715.68736024946,339884.738908379,-2249995.976685998,340692.08391810465,339878.8380478428,337371.5087618242,341228.525785032,336648.38512520614
340720.5153370518,339889.0304433144,337380.09183169506,341232.81731996743,336682.7174046895,332889.0005217791,339743.65469737706,341926.97309577145
340721.58822078566,339879.3744897097,337389.21134343283,341235.49952930206,336696.6648932296,332881.4903356422,339765.1123720542,341927.5095376384
340696.37545304006,339885.2753502459,337398.3308551706,68.6645589667033,-3548695.987307547,-3561870.9995592833,-3601842.3559477758,-3540190.165065547
340717.29668585025,339890.6397689152,337380.09183169506,341226.38001756434,336680.03519535484,332897.04714978306,339746.87334857864,341938.23837497697
340421.18077530636,339997.92814230063,337358.0977151511,341254.27499464457,275.7311196006679,3809991.4562691995,3759420.008590223,3590539.525811616
340810.6375706956,339981.2984444259,337343.0773428771,341214.041854625,336673.0614510848,332907.7759871216,339743.11825551017,341930.191746973
340830.48591977195,339977.0069094905,337345.2231103448,341207.6045522219,336671.98856735096,332921.7234756617,339744.7275811109,341936.0926075092
340825.12150110264,339963.5958628173,337359.1705988849,341231.7444362336,336707.3937305682,332917.96838259324,339750.0919997802,341935.5561656423
340816.5384312318,339954.47635107953,337368.2901106227,341231.20799436665,336702.5657537658,331787.1489271103,70645.10233939915,3718105.401766944
340786.4976866839,339951.25769987796,337371.5087618242,341230.1351106328,336687.54538149183,332917.4319407263,339769.4039069896,341941.99346804543
340784.35191921616,339934.62800200324,337385.45625036437,341256.42076211225,336696.6648932296,332920.1141500609,339765.1123720542,341960.7689333879
340776.84173307917,339938.3830950717,337392.96643650136,341253.7385527776,336685.93605589104,332927.08789433097,339772.6225581911,341948.9672123155
340776.84173307917,339934.62800200324,337399.9401807714,341243.00971543905,336698.2742188304,332924.40568499634,339789.78869793285,341954.3316309848
340745.1916629305,339933.01867640245,337390.2842271667,341245.6919247737,336679.49875348795,332946.9362434073,339776.37765125965,341975.2528637949
340784.35191921616,339936.7737694709,337383.8469247636,341249.4470178422,336715.976800439,332945.8633596735,339757.6021859172,341965.0604683233
340803.1273845586,339931.94579266856,337395.11220396904,341255.3478783784,336750.3090799223,332938.3531735365,339774.76832565886,341972.5706544603
340790.7892216193,339919.0711878623,337397.2579714368,341258.03008771304,336755.1370567247,332939.4260572703,339799.98109340447,341977.39863126265
340760.21203520446,339916.92542039463,337399.40373890445,341265.0038319831,336740.65312631766,332945.8633596735,339795.68955846905,341976.8621893957
340774.6959656115,339926.04493213235,337399.40373890445,341253.7385527776,336730.997172713,332943.1811503388,339800.51753527136,341975.2528637949
340793.47143095394,339925.50849026546,337398.3308551706,341258.03008771304,336762.6472428617,332944.7904759396,339800.51753527136,341979.54439873033
